"Submission.id","Age","Sex","U.s..political.affiliation"
"671bf0ae4d46d33523b674ef","47","Male","Democrat"
"671bf0c4d491bbcf8c854382","31","Female","Independent"
"671bf1f89f4af9cb9805f8a2","43","Female","Independent"
"671bf241b98c85ac81ae90a7","24","Female","Democrat"
"671bf292f8606ce258f73105","52","Female","Republican"
"671bf2a27136f31d732658ac","41","Female","Independent"
"671bf42d8ab7c011604602ce","40","Male","Democrat"
"671bf43f1d14c4fd7b8245b5","49","Female","Republican"
"671bf45fe7a5cd2edc844763","43","Female","Republican"
"671bf46de6b74b60717fe0b0","63","Female","Independent"
"671bf470f35bc94084c85a4c","27","Male","Republican"
"671bf484e7f3a0500d64a789","28","Male","Republican"
"671bf4a64e02dbd64b983de1","39","Female","Republican"
"671bf4c9b6bc505ee6675fe6","26","Female","Democrat"
"671bf4e9d7152be7f9ee9fcc","39","Female","Democrat"
"671bf4f2b7fb74133eeb5371","40","Female","Independent"
"671bf54a576f703a669e3bc1","48","Male","Republican"
"671bf55659f7ab1d9cf3c92a","21","Female","Independent"
"671bf5cc1d7089c757cef4a8","59","Male","Democrat"
"671bf6038bd750100086fee6","39","Female","Democrat"
"671bf60ad3216eaaac455f4a","52","Female","Independent"
"671bf61fc81db20680c30021","28","Female","Independent"
"671bf633576f703a669e3bd9","46","Female","Democrat"
"671bf63ab9ded19a91a19c4b","56","Female","Republican"
"671bf645d9f47bc1d0250e06","56","Male","Republican"
"671bf64a2fd72a6bb8266e9b","25","Female","Democrat"
"671bf652064a925df2cb08cc","26","Male","Democrat"
"671bf6570d059dd2757e1e73","45","Male","Independent"
"671bf65883975c2d794ff51b","53","Female","Democrat"
"671bf664372e90a137854746","21","Male","Republican"
"671bf684dc0489faede5676d","40","Female","Republican"
"671bf68b99535dac162510b0","63","Male","Democrat"
"671bf69051956a3fa52594a5","43","Female","Independent"
"671bf69ffc1d1760095f172a","30","Female","Democrat"
"671bf6a62e53a5001e266ec7","37","Male","Independent"
"671bf6ab784593d40513a54e","67","Male","Republican"
"671bf6b6d752c89149afe503","57","Female","Republican"
"671bf6bd9ce682f6843889b2","27","Female","Democrat"
"671bf6d5b6bc505ee6676043","18","Male","Democrat"
"671bf6f48118e3bdeb5f393b","44","Female","Independent"
"671bf6f75f6a281f2356145b","58","Female","Democrat"
"671bf701784593d40513a55d","60","Male","Democrat"
"671bf707e7f3a0500d64a808","55","Male","Independent"
"671bf719ecb9c984c3cc1a40","48","Female","Democrat"
"671bf72ef651eede3c0415ec","60","Female","Democrat"
"671bf759eb4868d75436e3bf","49","Female","Democrat"
"671bf75c96f4b7fe0f35fa0e","60","Male","Independent"
"671bf75ed7123a814bfba90a","43","Female","Democrat"
"671bf76bd752c89149afe535","37","Male","Independent"
"671bf76d7b82f46b4ff3c999","64","Male","Republican"
"671bf776e7a5cd2edc844828","43","Male","Republican"
"671bf77eb6bc505ee6676061","21","Female","Independent"
"671bf7954e02dbd64b983e81","31","Female","Independent"
"671bf7a386e133ed47137ea4","24","Male","Republican"
"671bf7a7f47cedd73ebad760","60","Female","Democrat"
