ResponseId,DescribeVignette,Usable,Check,MentionsScientist
R_5I3pg6cNyt32cB1,The protest was peaceful and facilitated by the police without incidents.,1,,
R_6I44OWEOfe8YM0K,The government is trying to help the people even with gas and culture being at stake,1,1,
R_3MM4qnTphPbGg76,The media objectively pointed out the actions of the protesters and what the result of their actions were.,1,,
R_1q8P0txlv3vJ9vK,There was a large protest. It included both non academy and academic people.,1,,1
R_13s7sWX3pWSKf3H,a peaceful protest with no incidents,1,,
R_5qEqV9rB3Yl28uX,I believe the media portrayed the protestors in a good way because believe strongly that oil and gas company will destroy the earth.,1,,
R_3xF1ZDxPhMxxiiB,Very positive. Police were there and no incidents,1,,
R_19necvyGBBM6QAz,"It has a very fair reporting of the protest and the oil companies, meaning, they weren't antagonizing the protesters or the companies, just stating the facts. It's a very balanced news article.",1,,
R_5sd0MIfQFQFxGuN,it reads pretty neutral to me. i'm not sure they are being portrayed any one way or another. maybe they are.,1,,
R_3rtrMpvsk51GsFj,They made it seem fairly violent - blockaded using bodies is quite vivid language.,1,,
R_6LNiBRWDcWRIgUa,"They described the people protesting as being in the thousands to demand the US and other governments stop new drilling, the protests were described as peaceful. The march was in the streets of Manhattan NY.",1,,
R_21pmShWMicoLRYJ,"The media portrayed the protest as a significant and urgent demonstration by climate activists demanding an end to new fossil fuel drilling, highlighting the escalation to civil disobedience with hundreds blocking entrances to the Federal Reserve and over a hundred arrests. The article emphasizes the activists' frustration with governmental inaction in response to climate science, featuring comments from a scientist who joined the protest to stress the severity of the climate crisis.",1,,1
R_35QLPRmSw3wiarL,"This article portrays the climate protesters in overall a neutral way. It reports on what happened without passing judgement, though it does implicitly support the protestors by then stating in the second paragraph that scientists say the world needs to limit warming.",1,,2
R_5nqkRFstB66CD8R,The media portrayed the protests as positive. They seemed to agree that change needed to be made.,1,,
R_5QKXWcTXWxw7M7W,The media portrayed support for reducing climate change. They also chose to get a quote from a scientist to support their agenda.,1,,1
R_62HhWhgh3DPU9Q5,"It was portrayed in a non-biased tone, simply stating the facts.",1,,
R_6fjEvvVqkzAFJiV,"Media leaned towards the protestors. They did not note the issues this protest caused, but focused on what the protestors message.",1,,
R_6v6UWsRVNzCDa2E,"The media reported a quiet demonstration in NYC protesting new oil and gas exploration in the USA. In addition to everyday people with a passion for this cause a scientist marched along. Usually scientists refrain from political stages as protests, but Dr. Frazier believes the problem is heading to catastrophic levels.",1,,1
R_58wSyOiLzMYPtbb,"A calm, police mediated intellectual protest. It appeared to be rational rather than emotional in nature.",1,,
R_1al6jqB1E0w5eHN,I don’t see that the media was involved at all.,1,,
R_1OTCPMEbLlPq4Rb,I think it was a positive potrayel.,1,,
R_1CQ1DjTsGmqOv54,The media portrayed the protest as peaceful and without incident.,1,,
R_10UaBUQlfdhxhyk,"It seems like the media was portraying the protests favorably. By providing a scientific claim below that backs up the protesters, it would seem that the writer is in agreement with them. I do not know whether the information alleged at the bottom is accurate though.",1,,2
R_3q1yrqfnl9cMV4J,"The media portrayed the protest with no particular bias, informing on scientific evidence on limiting warming. The story was factual with no opinion.",1,,2
R_11Gle3maFLLX2lW,The protests were non-violent and shown in a more positive light than I am used too.,1,,
R_3mymqakODhYtGoy,The protest was described as peaceful. It was also stated that it was facilitated by police.,1,,
R_5zv7fyHyeWjMrED,The media reported the protest to be quiet and uneventful. Scientists don't normally endorse protests but they feel this time that the government is ignoring the issue.,1,,1
R_5v16jt8rmxSLmki,"The media has portrayed the protest in a neutral way, but also gives their cause some exposure by adding contextual information about why they are protesting, including a quote from a protester himself.",1,,
R_5J2jmBtikAoVcBP,It portrayed it in a positive light. I made it seem like the protestors were on the right side of the issue.,1,,
R_5dK5iVoH5npMVXS,the media portrayed the protest as the activist marched to the federal reserve and entered using their bodies.,1,,
R_6Phb48negnEw48f,"The newspaper portrayed the protesters as peaceful, and gave a full unbiased report of the reasons behind the protest. It also highlighted the fact that the protesters wanted the government to stop approving new oil and gas infrastructure in keeping with efforts to limit global warming temperatures.",1,,
R_7HZXAlz187gabb5,"The way the protest was described, it was peaceful, but large and disruptive.",1,,
